nom,iata,icao
Jijel Ferhat Abbas Airport,GJL,DAAV
Khafji Airport,,OE45
Jérémie Airport,JEE,MTJE
Korhogo Airport
Kugluktuk Airport,YCO,CYCO
Kugaaruk Airport,YBB,CYBB
L'Mekrareg Airport,LOO,DAUL
Mécheria Airport,MZW,DAAY
St. Stephen Airport,,
Addison Airport,ADS,KADS
Adirondack Regional Airport,SLK,KSLK
Adré Airport,,
Adé Airport,,
Aek Godang Airport,AEG,WIME
Aeroacres Airport,,
Aeroflex-Andover Airport,,
Aeronut Park Balloonport,,
Afton Municipal Airport,AFO,KAFO
Aggeneys Airport,AGZ,FAAG
Aghajari Airport,AKW,OIAG
Aguaclara Airport,ACL,SKAW
Aiambak Airport,AIH,AYAK
Ailuk Airport,AIM,
Ainsworth Regional Airport,ANW,KANW
Aiome Airport,AIE,AYAO
Air Estates Airport,,
Air Park-Dallas Airport,,
Airglades Airport,,
Gothenburg-Landvetter Airport,GOT,ESGG
Fukuoka Airport,FUK,RJFF
Juancho E. Yrausquin Airport,SAB,TNCS
Sochi International Airport,AER,URSS
St. Joseph Island Airport,,
Al Khor Airport,,OTBK
Alalapadu Airstrip,,SMDU
Alamo Landing Field,,
Alamo Navajo Airport,,
Alamogordo–White Sands Regional Airport,ALM,KALM
Alas Leuser Airport,,WILD
Albany Municipal Airport,,
Albany Municipal Airport,,
Albany Municipal Airport,,
Albert Lea Municipal Airport,AEL,KAEL
Albert Whitted Airport,SPG,KSPG
Alberto Delgado Airport,TND,MUTD
Albion Municipal Airport,,KBVN
Alegrete Airport,ALQ,SSLT
Alexander Salamon Airport,,KAMT
Alexandra Aerodrome,ALR,NZLX
Alexandra Park Aerodrome,,
Port Meadville Airport,MEJ,KGKJ
Port Nelson Airport,RCY,MYRP
Portage County Regional Airport,POV,KPOV
Portage Creek Airport,PCA,PAOC
Portage Municipal Airport,,
Portales Municipal Airport,,KPRZ
Porter County Regional Airport,VPZ,KVPZ
Porterville Municipal Airport,PTV,KPTV
Portland-Troutdale Airport,TTD,KTTD
Porto Cheli Airport,PKH,LGHL
"Portsmouth Airport, Hampshire",PME,
Posey Field,,K1M4
Poso Airport,,
Post Mills Airport,,
Poste Airport,,FEFB
Potomac Airfield,VKX,KVKX
Heritage Field Airport,PTW,KPTW
Pottstown Municipal Airport,,
Poverty Hollow Airport,,
Poverty Valley Aerodrome,,
Parsabad-Moghan Airport,PFQ,OITP
Sahand Airport,ACP,OITM
Dasht-e Naz Airport,SRY,OINZ
Kermanshah Airport,KSH,OICC
Mashhad International Airport,MHD,OIMM
Sanandaj Airport,SDG,OICS
Wa Airport,WZA,DGLW
Governador Jorge Teixeira de Oliveira International Airport,PVH,SBPV
Dunhuang Airport,DNH,ZLDH
Hakodate Airport
Ancona Falconara Airport,AOI,LIPY
Växjö/Kronoberg Airport,VXO,ESMX
Luseland Airport,,
North Bay Water Aerodrome,,
Echo Valley Airport,,
Shawnigan Lake Water Aerodrome,,
Thessalon Municipal Airport,,
Welshpool Airport,,EGCW
Saint-Raymond/Paquet Aerodrome,,
Springdale Airport,,
Fort Macleod (Alcock Farm) Airport,,
Québec/Lac Saint-Augustin Water Airport,,
Greater Rochester International Airport,ROC,KROC
Thetford Mines Airport,,
Altona Municipal Airport,,
Grand Valley (Martin Field) Aerodrome,,
L'Assomption Airport,,
Green Acres Air Park,,
Shoal Lake Airport,,
Greeley–Weld County Airport,GXY,KGXY
Fort Langley Water Aerodrome,,
Twin Creeks Airport,,CFS7
Grand Valley (Black Field) Aerodrome,,
Grand Manan Airport,,
Greater Green River Intergalactic Spaceport,,
Tisdale Airport,YTT,CJY3
Greenwood County Airport,GRD,KGRD
Warren/Woodlands Airport,,
Greenwood Lake Airport,,
Shediac Bridge Aerodrome,,
Wadena Airport,,CKS7
Lashenden (Headcorn) Airfield,,EGKH
Pond Inlet Airport,YIO,CYIO
Habersham County Airport,,KAJR
Stony Rapids Airport,YSF,CYSF
Little Grand Rapids Airport,ZGR,CZGR
Apetina Airstrip,,SMPT
Apple Valley Airport,,
Apucarana Airport,APU,SSAP
Aracati Airport,,SBAC
Arandis Airport,ADI,FYAR
Aransas County Airport,RKP,KRKP
Arapahoe Municipal Airport,AHF,
Arapongas Airport,APX,SSOG
Araracuara Airport,ACR,SKAC
Araraquara Airport,AQA,SBAQ
Araçatuba Airport,ARU,SBAU
Arcadia-Bienville Parish Airport,,
Archer Memorial Field,,
Ardmore Downtown Executive Airport,AHD,
Ardmore Municipal Airport,ADM,KADM
Argyle Downs Airport,,
Kotroni Airport,,LGKN
Kotwa Airport,,FVOT
Koukou Angarana Airport,,
Koulamoutou Airport,KOU,FOGK
Koumala Airport,KOL,
Koutiala Airport,KTX,GAKO
Kowanyama Airport,KWM,YKOW
Taos Regional Airport,TSM,KSKX
Window Rock Airport,RQE,KRQE
Tuba City Airport,TBC,
Shiprock Airstrip,,
St. Johns Industrial Air Park,SJN,KSJN
Springerville Municipal Airport,,KJTC
Page Municipal Airport,PGA,KPGA
Quincy Regional Airport,UIN,KUIN
Quonset State Airport,OQU,KOQU
RAAF Curtin,DCN,YCIN
RAE Bedford,,EGVW
RAF Boulmer,,EGQM
RAF Breighton,,EGBR
Leeds East Airport,,EGCM
RAF Dishforth,,EGXD
RAF Dounreay,,EGPY
RAF El Amiriya,,
RAF Hockley Heath,,
RAF Hooton Park,,
RAF Hullavington,,EGDV
RAF Leconfield,,EGXV
RAF Little Rissington,,EGVL
RAF Newton,,EGXN
RAF Newchurch,,
RAF Pengam Moors,,
RAF Santacruz,,
RAF Shipdham,,EGSA
RAF Southam,,
RAF St Jean,,
RAF Syerston,,EGXY
RAF Ternhill,,EGOE
Pointe-à-Pitre International Airport,PTP,TFFR
Kutaisi International Airport,KUT,UGKO
Calgary International Airport,YYC,CYYC
Donegal Airport,CFN,EIDL
Katowice International Airport,KTW,EPKT
Charleston International Airport,CHS,KCHS
Ra's Lanuf Airport,
Batman Airport,BAL,LTCJ
Eskişehir Airport,ESK,LTBI
Mzuzu Airport,ZZU,FWUU
Grise Fiord Airport,YGZ,CYGZ
Eureka Aerodrome,YEU,CYEU
Pangnirtung Airport,YXP,CYXP
Repulse Bay Airport,YUT,CYUT
Ulukhaktok/Holman Airport,YHI,CYHI
Grand Rapids Airport,,
Granitehill Lake Water Aerodrome,,
Norway House Airport,YNE,CYNE
Greenbrier Valley Airport,LWB,KLWB
Taloyoak Airport,YYH,CYYH
Green River Municipal Airport,RVR,
Ucluelet Water Aerodrome,,
Russell Airport,,
Elliot Lake Municipal Airport,YEL,CYEL
Stewart Aerodrome,ZST,CZST
Lundar Airport,,
Saint-Victor-de-Beauce Aerodrome,,
Greater Portsmouth Regional Airport,PMH,KPMH
Grand Rapids – Itasca County Airport,GPZ,KGPZ
Hague/Guliker Field Aerodrome,,
Quesnel Lake Airport,,
Saint-Dominique Aerodrome,,
Port Alberni (Alberni Valley Regional) Airport,YPB,
Prince Rupert/Seal Cove Water Airport,ZSW,CZSW
Steinbach (South) Airport,,
Arborfield Airport,,
Round Lake (Weagamow Lake) Water Aerodrome,,
Eddontenajon/Iskut Village Airport,,
Grand Valley North Aerodrome,,
Arzni Airport,,UD21
Avoca Airport,,
Aydın Airport,CII,LTBD
Badu Island Airport,BDD,YBAU
Omak Airport,OMK,KOMK
Kautokeino Airport,QKX,ENKA
Baldwin County Airport,MLJ,KMLJ
Baldwin West Aerodrome,,
Balgo Hill Airport,BQW,YBGO
Balimo Airport,OPU,AYBM
Ballera Airport,BBL,YLLE
Baltimore Municipal Airport,,
Barimunya Airport,BYP,YBRY
Barker Field,,
Barretos Airport,BAT,SNBA
Barron Field,,
Barrow Island Airport,BWB,YBWX
Basengele Airport,,FZBW
Bathinda Airport,BUP,VIBT
Batken Airport,,UAFB
Kyneton Airport,,YKTN
Kyzyl-Kiya Airport,,UAFS
Kyzyl-Syr Airport,,UENK
Kébir Airport,,
Kéniéba Airport,KNZ,GAKA
L. M. Clayton Airport,OLF,KOLF
LA/Palmdale Regional Airport,PMD,KPMD
LAPD Hooper Heliport,,
LaBelle Municipal Airport,,
LaGrange-Callaway Airport,LGC,KLGC
La Caleta Field,,MDVA
La Cerdanya Aerodrome,,LECD
La Cholla Airpark,,
La Chorrera Airport,LCR,SKHZ
La Coloma Airport,LCL,MULM
La Fría Airport,LFR,SVLF
La Grande-4/Lac de la Falaise Water Aerodrome,,
RAF Thorney Island,,
RAF Tuddenham,,
RAF Warwick,,
RAF Wattisham,,EGUW
RAF Woodvale,,EGOW
RCAF Station Charlottetown,,
RCAF Station Dafoe,,
RCAF Station Gimli,,
RCAF Station High River,,
RCAF Station Mount Pleasant,,
RCAF Station Pennfield Ridge,,
RCAF Station Pearce,,
RCAF Station Vulcan,,
RNAS Lee-on-Solent,,EGHF
RNZAF Base Ohakea,OHA,NZOH
RWJ Airpark,,
Rabak Airport,KST
Rabaul Airport,RAB,AYRB
Raduzhny Airport,RAT,USNR
Raebareli Airport,,VIRB
Rafaela Aerodrome,RAF,SAFR
Ragoebarsing Airstrip,,SMRN
Raichur Airport,,VORR
Raja Bhoj Airport,BHO,VABP
Oakland International Airport,OAK,KOAK
Trabzon Airport,TZX,LTCG
Nakhon Phanom Airport,KOP,VTUW
Gold Coast Airport,OOL,YBCG
Obre Lake/North of Sixty Water Aerodrome,,
Fort Macleod Airport,,
Grand Haven Memorial Airpark,,
Great Bend Municipal Airport,GBD,KGBD
Gondia Airport,,VAGD
Haddenham Airfield,,
Great Harbour Cay Airport,GHC,MYBG
Goondiwindi Airport,GOO,YGDI
Greenville-Spartanburg International Airport,GSP,KGSP
Ear Falls Water Aerodrome,,
Springdale/Davis Pond Water Aerodrome,,
Apple River Airport,,
Keene/Elmhirst's Resort Airport,,
Brewton Municipal Airport,,K12J
Fort Chipewyan/Small Lake Water Aerodrome,,
Parry Sound/Deep Bay Water Aerodrome,,
Alice Arm/Silver City Water Aerodrome,ZAA,
Saint-Mathieu-de-Beloeil Aerodrome,,
Sainte-Anne-des-Monts Aerodrome,,CYSZ
Shoal Lake Water Aerodrome,,
Greater Binghamton Airport,BGM,KBGM
H. L. Sonny Callahan Airport,,KCQF
Wiarton Airport,YVV,CYVV
Hagerstown Airport,,
Ste. Rose du Lac Airport,,
Greene County Regional Airport,,
Fairmont Hot Springs Airport,YCZ,CYCZ
Battlefield Airport,,
Bean Blossom Airport,,
Bellevue Airport,,YBLU
Beni-Dibele Airport,,FZVO
Beongo Airport,,FZEO
Berhampur Airport,BMP,VEBM
Besalampy Airport,BPY,FMNQ
Big Sky Airport,,KEKS
Big South Fork Airpark,,
Bilene Airport,,FQBI
Bindja Airport,,FZBQ
Binga Airport,,FZGE
Birchip Airport,,YBIR
Bisbee Municipal Airport,BSQ,
Bishe Kola Air Base,BSM,OINJ
Bishop Airport,,
Bitam Airport,BMM,FOOB
Pattani Airport,PAN,VTSK
Blue Heron Airport,,
Boguchany Airport,,UNKB
Bokungu Airport,,FZGF
Bolila Airport,,FZGC
Bonis Airfield,,
Boolgeeda Airport,OCM,YBGD
Borroloola Airport,BOX,YBRL
Boulder City Airport,,
Boundji Airport,BOE,FCOB
Bowen Airport,ZBO,YBWN
Lake Charles Regional Airport,LCH,KLCH
Lake City Gateway Airport,LCQ,KLCQ
Lake County Airport,LKV,KLKV
Lake County Airport,LXV,KLXV
Lake Elmo Airport,,
Lake Havasu City Airport
Lake Isabella – Cal Brewer Memorial Airport,,
Lake Johnston Airport,,YLJN
Lake Louise Airport,,
Lake Murray Airport,LMY,AYLM
Lake Muskoka South Water Aerodrome,,
Lake Placid Airport,LKP,KLKP
Lake Tahoe Airport,TVL,KTVL
Lake Village Airport,,
Lake Wales Municipal Airport,,
Lake Wenatchee State Airport,,
Lake in the Hills Airport,,
Lakehill Airport,,
Lakeridge Health Port Perry,,
Lakeside State Airport,,
Rankin Field,,
Rantoul National Aviation Center,,KTIP
Rapopo Airfield,,
Raroia Airport,RRR,NTKO
Rathcoole Aerodrome,,EIRT
Ratnagiri Airport,RTC,VARG
Raton Municipal Airport,RTN,KRTN
Rawlins Municipal Airport,RWL,KRWL
Raxaul Airport,,VERL
Reading Regional Airport,RDG,KRDG
Real del Castillo Airstrip,,
Red & White Flying Service Airport,,
Red Deer/Truant Aerodrome,,
Red Deer/South 40 Airstrip,,
Red Lion Airport,,
Red Oak Municipal Airport,RDK,KRDK
Red Wing Regional Airport,,KRGK
Redcliffe Airport,,YRED
Redcliffe Airport,RCL,NVSR
Redding Municipal Airport,RDD,KRDD
Redenção Airport,RDC,SNDC
Greenville Downtown Airport,GMU,KGMU
Wilkie Airport,,CKW7
Alliston Airport,,
Keewaywin Airport,KEW,
Lower East Pubnico (La Field) Airport,,
Nobleton Airport,,
Lucan Airport,,
H.A. Clark Memorial Field,,KCMR
Goodland Municipal Airport,GLD,KGLD
Kingfisher Lake Airport,KIF,
Fort Grahame Airport,,
Goose (Otter Creek) Water Aerodrome,,
Sherburn-in-Elmet Airfield,,EGCJ
La Ronge Water Aerodrome,,
Norman Wells Water Aerodrome,,
Grand Valley (Madill Field) Aerodrome,,
Grant County Regional Airport,JDA,KGCD
Andrewsfield Aerodrome,,EGSL
Along Airport,IXV,VEAN
Altus/Quartz Mountain Regional Airport,AXS,KAXS
Ambala Air Force Station,,VIAM
Kilaguni Airport,ILU
Killaloe/Bonnechere Airport,YXI,CYXI
Killarney Airport,,
Killeen–Fort Hood Regional Airport,GRK,KGRK
Kilwa Masoko Airport,KIY
Kimwarer Airport,KRV,
Kindamba Airport,KNJ,FCBK
King's Airport,,
Kingaroy Airport,KGY,YKRY
Kingdon Airpark,,
Kingman Airport,IGM,KIGM
Kings Land O' Lakes Airport,,KLNL
Kingston-Ulster Airport,,
Kingston Airpark,,
Kingston Airport,,
Kirk Field,PGR,KPGR
Kirkfield/Balsam Lake Aerodrome,,
Kirkfield (Palestine) Aerodrome,,
Kirksville Regional Airport,IRK,KIRK
Kirkuk Air Base,KIK,ORKK
Kramfors-Sollefteå Airport,KRF,ESNK
Bandar Lengeh Airport,BDH,OIBL
Shahid Sadooghi Airport,AZD,OIYY
Isfahan International Airport,IFN,OIFM
"Shiraz International Airport, Iran",SYZ,OISS
Aniwa Airport,AWD,NVVB
Ankavandra Airport,JVA,FMMK
Ankeny Regional Airport,,KIKV
Anoka County-Blaine Airport,,KANE
Anse-à-Galets Airport,,
Anson County Airport,,KAFP
Ansongo Airport,,GAAO
Anthony Municipal Airport,ANY,KANY
Antique Airfield,,
Antlers Municipal Airport,ATE,
Antonio (Nery) Juarbe Pol Airport,ARE,TJAB
Antsalova Airport,WAQ,FMMG
Antsirabato Airport,ANM,FMNH
Apalapsili Airport,AAS,
Apataki Airport,APK,NTGD
Syekh Hamzah Fansyuri Airport,,
Kokhanok Airport,KNK,PFKK
Kokomo Municipal Airport,OKK,KOKK
Koksan Airport,,
Kole Sur Lukenie Airport,,FZVC
Kolokani Airport,,GAKN
Kolokope Airport,,DXKP
Kolwezi Airport,KWZ,FZQM
Konotop,,UKBF
Koné Airport,KNQ,NWWD
Kooddoo Airport,GKK,VRMO
Kornasoren Airport,FOO,WABF
Kostolac Airport,,LYKT
Kota Airport,KTU,VIKO
Kotakoli Air Base,,FZFP
Kotido Airport,
Kagoshima Airport,KOJ,RJFK
Kōchi Airport,KCZ,RJOK
Ibaraki Airport,IBR,RJAH
Harbin Taiping International Airport
Qingdao Liuting International Airport,TAO,ZSQD
Port Hardy Airport,YZT,CYZT
Aribinda Airport,XAR,DFOY
Aripuanã Airport,AIR,SSOU
Arledge Field,,
Arlington Municipal Airport,,
Arlington Municipal Airport,,
Armação dos Búzios Airport,BZC,SSBZ
Armação dos Búzios Airport,BZC,SBBZ
Armour Heights Field,,
SLAF Koggala,KCT,VCCK
Ashley Municipal Airport,ASY,KASY
Assa-Gueyla Airport,
Assis Airport,AIF,SNAX
Plekhanovo Airport,,USTL
Kemijärvi Airfield,,EFKM
Atbasar Airport,ATX,
Atlanta Regional Airport,,KFFC
Atoka Municipal Airport,,KAQR
Vanavara Airport,,UNIW
Etimesgut Air Base,ANK,LTAD
Winslow-Lindbergh Regional Airport,INW,KINW
Kanab Municipal Airport,KNB,KKNB
Kozyrevsk Airport,,UHPO
San Carlos Apache Airport,GLB,
Safford Regional Airport,SAD,KSAD
Krasnovishersk Airport,,
Kratié Airport,KTI,VDKT
Kremenchuk Airport,KHU,UKHK
Kroelinger Airport,,
Kroonstad Airport,,FAKS
Kruševac Airport,,LYKS
Kulik Lake Airport,LKK,PAKL
Kulm Municipal Airport,,
Kumgang Airport,,
Kushinagar International Airport,KBK,VEKI
Kutztown Airport,,
Kwail Airport,,
Kwaksan Airport,,
Kwamelasemoetoe Airstrip,,SMSM
Kwanghan Airfield,GHN,ZUGH
Naha Airport,OKA,ROAH
Niigata Airport,KIJ,RJSN
Changchun Longjia International Airport,CGQ,ZYCC
Hangzhou Xiaoshan International Airport
Guilin Liangjiang International Airport,KWL,ZGKL
Hamad International Airport,DOH,OTHH
Louisville International Airport,SDF,KSDF
Langille Lake Water Aerodrome,,
Senneterre Airport,,
Southend Water Aerodrome,,
Willow Bunch Airport,,CKZ2
Norway House Water Aerodrome,,
Lansdowne House Airport,YLH,CYLH
Stoney Point Airport,,
Powell Lake Water Aerodrome,WPL,
Sexsmith/Exeter Airport,,
Kakabeka Falls Airport,,
Grand River Airport,,
Fairoaks Airport,,EGTF
Roblin Airport,,
Sainte-Agnès-de-Dundee Aerodrome,,
Spiritwood Airport,,CKH7
Nimpo Lake Water Aerodrome,,
Fort Chipewyan Airport,YPY,CYPY
Webequie Airport,YWP,CYWP
Thicket Portage Airport,YTD,CZLQ
Fort MacKay/Horizon Airport
Edam Airport,,
Saint-Michel-des-Saints Aerodrome,,
Shelburne/Fisher Field Aerodrome,,
Eatonia (Elvie Smith) Municipal Airport,,
Victoria Inner Harbour Airport,YWH,CYWH
Round Lake (Weagamow Lake) Airport,ZRJ,CZRJ
Fort Erie Airport,,
Old Buckenham Airport,,EGSV
Sainte-Anne-du-Lac Water Aerodrome,,
Nobel/Sawdust Bay Water Aerodrome,,
Makokou Airport,MKU,FOOK
Bristol Aerodrome,,CDA6
Brits Airfield,,FABS
Bronzewing Airport,,YBWG
Bucharest Alexeni Airport,,
Buffalo Range Airport,BFO,FVCZ
Buin Airport,UBI,
Buka Airport,BUA,AYBK
Lolland Falster Airport,MRW,EKMB
Randers Airport,,EKRD
Rocky Mountain Metropolitan Airport,BJC,KBJC
Malmö Bulltofta Airport,,ESMM
Buna Airfield,,
Burketown Airport,BUC,YBKT
But Airfield,,
Buttress,,
Buzzwick Airport,,
Old Båtsfjord Airport,,
Bétou Airport,BTB,FCOT
Camp Speicher,,ORSH
Caboolture Airfield,,YCAB
Lakeview Airport,,
Lakeway Airpark,,
Lakewood Airport,,
Lakhimpur Kheri Airport,,
Lakunai Airfield,,AYRB
Lamar County Airport,,KM55
Lamar Municipal Airport,,KLLU
Lambert Field Airport,,
Lamen Bay Airport,LNB,NVSM
Lamphun Airport,,VTCO
Lampson Field,CKE,
Lanai Airport,LNY,PHNY
Lancaster Airpark,,CLA6
Lancaster Airport (California),,
Lancaster Airport,LNS,KLNS
Lancaster Airport,LNC,KLNC
Lancaster County Airport,,KLKR
Land's Inn Ranch Airport,,
Lane Airport,,
Lane Field Airport,,
Langatabbetje Airstrip,,SMLT
Langlade County Airport,,KAIG
Lansdowne Airport,,
Richard Arthur Field,,KM95
Richard B. Russell Airport,RMG,KRMG
Richard I. Bong Airport,SUW,KSUW
Tulsa Riverside Airport,RVS,KRVS
Richard Toll Airport,RDT,GOSR
Richards-Gebaur Air Force Base,GVW,KGVW
Richards Bay Airport,RCB,FARB
Richelieu/Messier Aerodrome,,
Richland Airport,RLD,KRLD
Richland Municipal Airport,,
Richmond Airport,RCM,YRMD
Richmond Airport,,
Richmond County Airport,RCZ,KRCZ
Richmond Municipal Airport,RID,KRID
Rieben Airport,,
Rio Turbio Airport,RYO,SAWT
Rio Verde Airport,RVD,SWLC
Rio Vista Airport,,
Rio Vista Municipal Airport,,
Delta County Airport,ESC,KESC
Seymour Airport,GPS,SEGS
Peleliu Airfield,,
Bushehr Airport,BUZ,OIBB
Port Hedland International Airport,PHE,YPPD
Islamabad International Airport,ISB,OPIS
Brest Bretagne Airport,BES,LFRB
Toyama Airport,TOY,RJNT
Weihai Dashuibo Airport,WEH,ZSWH
Yanji Chaoyangchuan Airport,YNJ,ZYYJ
Raleigh–Durham International Airport,RDU,KRDU
Borg El Arab Airport
Oshima Airport,OIM,RJTO
Lac Agile (Mascouche) Airport,,
Exploits Valley (Botwood) Airport,,
Rosenort Airport,,
Fort Liard Airport,YJF,CYJF
Pine Dock Water Aerodrome,,
Fairview Airport,ZFW,CEB5
Témiscaming/Lac Kipawa Water Aerodrome,,
Graham Field,,
Easterville Airport,,
Nottingham Airport,NQT,EGBN
Hagerstown Regional Airport
Tyendinaga (Mohawk) Airport,,
Queen Charlotte City Water Aerodrome,ZQS,
Truro Aerodrome,,EGHY
Nipawin Airport,,CYBU
Grand Central Airport,GCJ,FAGC
Kars/Rideau Valley Air Park,,
Kelsey Airport,KES,CZEE
Rodney (New Glasgow) Airport,,
Winkler Airport,,
East Gore Eco Airpark,,
Gowganda/Gowganda Lake Water Aerodrome,,
Grandes-Bergeronnes Airport,,CTH3
Gooderham/Pencil Lake Water Aerodrome,,
Tsacha Lake Airport,,
Erickson Municipal Airport,,
Lac à la Perchaude Airport,,
Gravelbourg Airport,,
Redlands Municipal Airport,,KREI
Reds Wallowa Horse Ranch Airport,,
Redstone Army Airfield
Redvers Airport,,CKA7
Redwing Airport,,
Reed Airport,,
Reeves Airport,,
Regina/Aerogate Aerodrome,,
Reid–Hillview Airport,RHV,KRHV
Reigle Field,,
Reindeer Lake/Lindbergh Lodge Aerodrome,,
Relizane Airport,QZN,DAAZ
Remire Island Airport,,FSSR
Renfrew Airport,,
Renhuai Maotai Airport,WMT,ZUMT
Renton Municipal Airport,RNT,KRNT
Republic Airport,FRG,KFRG
Resende Airport,REZ,SDRS
Rialto Municipal Airport,,
Ribbon Ridge Airport,,
Rice Lake Regional Airport,RIE,KRPD
Lake Simcoe Regional Airport,YLK,CYLS
Edmonton/Cooking Lake Water Aerodrome,,
Rigolet Airport,YRG,
Pays Plat Water Aerodrome,,
Surge Narrows Water Aerodrome,,
Summer Beaver Airport,SUR,
Quilchena Airport,,
Silver Falls Airport,,
Fort McMurray/Mildred Lake Airport,NML,
Opapimiskan Lake Airport,YBS,
Yorkton Municipal Airport,YQV,CYQV
Arborg Airport,,
Port McNeill Airport,YMP,
Kerrobert Airport,,
Valemount Airport,,
Armstrong/Waweig Lake Water Aerodrome,,
Watrous Airport,,CKU7
Waterville/Kings County Municipal Airport,,
Armstrong Water Aerodrome,,
Pikwitonei Airport,PIW,CZMN
Kegaska Airport,ZKG,
Lasham Airfield,QLA,EGHL
MacGregor Airport,,
Tipella Airport,,
Arcola Airport,,
Edmundston Airport,,CYES
Forestville Airport,YFE,CYFE
Macdonald Airport,,
St. Andrews (Codroy Valley) Airport,,
Port Carling/Butterfly Lake Water Aerodrome,,
Simcoe (Dennison Field) Airport,,
Tillsonburg Airport,,CYTB
Wrigley Airport,YWY,CYWY
Macmillian Pass Airport,XMP,CFC4
Crawford County Airport,RSV,KRSV
Creasy Airport,,
Crowfield Airfield,,EGSO
Crystal Lake Airport,,
Cue Airport,CUY,YCUE
Cuito Cuanavale Airport,CTI,FNCV
Cunderdin Airport,,YCUN
Curuzú Cuatiá Airport,UZU,SATU
Cushing Municipal Airport,CUH,KCUH
Cutler Regional Airport,,
Dale Mabry Field,,
Dalma Airport,ZDY,OMDL
Dalton Airport,,
Dalupiri Airport,,
Thumamah Airport,,OETH
Darlot Airport,,YDLO
Davenport Municipal Airport,,
Louangnamtha Airport,LXG,VLLN
Sayaboury Airport,ZBY,VLSB
Davis Airport,,
Oro Negro Airport,CBS,SVON
Queenstown Airport,ZQN,NZQN
Prince Mohammad Bin Abdulaziz International Airport,MED,OEMA
Kalibo International Airport,KLO,RPVK
Mudanjiang Hailang International Airport,MDG,ZYMD
Shizuoka Airport,FSZ,RJNS
Patrick Space Force Base,COF,KCOF
El Paso International Airport,ELP,KELP
Farnborough Airport,FAB,EGLF
Chania International Airport,CHQ,LGSA
Moorabbin Airport,MBW,YMMB
Dodge City Regional Airport,DDC,KDDC
Lumsden (Colhoun) Airport,,
Eston Airport,,
Kanawata Aeroparc,,
Grande Prairie Airport,YQU,CYQU
Kattiniq/Donaldson Airport,YAU,CTP9
Grand Canyon Bar 10 Airport,GCT,
Redhill Aerodrome,KRH,EGKR
Greenlee County Airport,CFT,KCFT
White Waltham Airfield,,EGLM
Empress/McNeill Spectra Energy Aerodrome,,
Ear Falls Airport,,CYMY
Rockton Airport,,
Hamburg Aerodrome,,
Tumbler Ridge Airport,TUX,
Kamsack Airport,,CJN2
Lucknow Airpark,,
Kirkland Lake Airport,YKX,CYKX
Lanigan Airport,,
Ethel Airport,,
Lutselk'e Water Aerodrome,,
Nixon Airport,,
Faro Airport,ZFA,CZFA
Winnipeg/Lyncrest Airport,,
Cachoeiro de Itapemirim Airport,CDI,SNKI
California Pines Airport,,
Caloundra Airport,CUD,YCDR
Cameron Airport,,
Camooweal Airport,CML,YCMW
Canora Airport,,
Capitán José Daniel Vazquez Airport,ULA,SAWJ
Capitán Omar Darío Gerardi Airport,,SACA
Captain Luis F. Gómez Niño Air Base,API,SKAP
Carnarvon Airport,,FACN
Castellón Aerodrome,,LECN
Cattaraugus County-Olean Airport,OLE,KOLE
Centenary Airport,,FVCN
Century Mine Airport,,YCNY
Chandler Regional Airport,,KCQB
Chandrapur Airport,,VA1B
Charles W. Baker Airport,,
Chaybukha Airport,,UHMG
Cherry Ridge Airport,,
Chester Airport,,KSNC
Chillagoe Airport,LLG,YCGO
Chimoio Airport,VPY,FQCH
Chinquapin Airport,,
Chistopol Airport,,UWKI
Chitrakoot Airport,
Choteau Airport,,KCII
Lawa Antino Airstrip,,SMAN
Lawa Tabiki Airstrip,,SMTA
Lawen Strip,,
Lawlers Airport,,YLAW
Lawrence County Airpark
Lawrence J. Timmerman Airport,MWC,KMWC
Lawrence Municipal Airport,LWC,KLWC
Lawrence Municipal Airport,LWM,KLWM
Le Mars Municipal Airport,LRJ,KLRJ
Le Roy Airport,,
Le Sueur Municipal Airport,,
Lea County-Zip Franklin Memorial Airport,,
Lea County Jal Airport,,
Lea County Regional Airport
Leach Airport,,
Leadville Municipal Airport,,
Lebanon-Warren County Airport,,
Lebanon Municipal Airport,LEB,KLEB
Lebanon Municipal Airport,,
Robinvale Airport,RBC,YROI
Rochelle Municipal Airport,RPJ,KRPJ
Rock Airport,,
Rock County Airport,,KRBE
Rock Hill/York County Airport,RKH,KUZA
Southwest Wyoming Regional Airport,RKS,KRKS
Rockey's Air Strip,,
Rockingham County NC Shiloh Airport,,KSIF
Rocky Mount-Wilson Regional Airport,RWI,KRWI
Rogers Field,,
Rogers Municipal Airport,ROG,KROG
Rohnerville Airport,,KFOT
Rolla National Airport,VIH,KVIH
Rome State Airport,REO,KREO
Rome Service Airport,,
Romeo State Airport,,
Rooks County Regional Airport,RCP,KRCP
Roosevelt Field,,
Roppair Airport,,
Rosales Airport,,RPLR
Rosamond Skypark,,
Kumamoto Airport,KMJ,RJFT
Zamboanga International Airport,ZAM,RPMZ
Batumi International Airport,BUS,UGSB
Beijing Nanyuan Airport,NAY,ZBNY
Saint-Bruno-de-Guigues Aerodrome,,
Sachigo Lake Airport,ZPB,CZPB
Wingham/Richard W. LeVan Aerodrome,,
Juniper Airport,,
Points North Landing Water Aerodrome,,
Ross River Airport,XRR,CYDM
Lansing Municipal Airport,,KIGQ
